scenario,year,gdp_billion_ppp_2010
SSP1,2010,77476.36682114787
SSP1,2011,81527.22448836081
SSP1,2012,84804.71832560218
SSP1,2013,88230.2068144059
SSP1,2014,91805.79301804418
SSP1,2015,95533.63721177686
SSP1,2016,99270.05853220577
SSP1,2017,102725.21418488237
SSP1,2018,107966.67984257075
SSP1,2019,112633.48268691386
SSP1,2020,117475.67515304705
SSP1,2021,122475.1964598114
SSP1,2022,127638.65624064689
SSP1,2023,132961.51624150874
SSP1,2024,138439.71590077403
SSP1,2025,144069.66083068794
SSP1,2026,149847.21855821647
SSP1,2027,155768.66941505947
SSP1,2028,161830.45854823574
SSP1,2029,168029.40743259035
SSP1,2030,174362.6990720066
SSP1,2031,180929.2820197038
SSP1,2032,187620.21156453012
SSP1,2033,194420.82363797765
SSP1,2034,201316.7879314255
SSP1,2035,208294.09736861876
SSP1,2036,215357.03959855664
SSP1,2037,222474.4153510133
SSP1,2038,229632.2041770774
SSP1,2039,236816.65084579765
SSP1,2040,244014.2581429001
SSP1,2041,251207.53544820196
SSP1,2042,258398.40715862077
SSP1,2043,265585.0859676908
SSP1,2044,272766.0078125778
SSP1,2045,279939.82360419934
SSP1,2046,287132.055529186
SSP1,2047,294316.09186854446
SSP1,2048,301491.0107352064
SSP1,2049,308656.0702334895
SSP1,2050,315810.70037169673
SSP1,2051,323036.01967551565
SSP1,2052,330253.6980715055
SSP1,2053,337463.60928097897
SSP1,2054,344665.75521407026
SSP1,2055,351860.25781327795
SSP1,2056,359087.65108654374
SSP1,2057,366309.29815301165
SSP1,2058,373525.89120182896
SSP1,2059,380738.2140419252
SSP1,2060,387947.13318585587
SSP1,2061,395184.43240479915
SSP1,2062,402410.15687587135
SSP1,2063,409614.8878454505
SSP1,2064,416789.24169012264
SSP1,2065,423923.86253357347
SSP1,2066,431024.02852935303
SSP1,2067,438066.63418737694
SSP1,2068,445043.1816064468
SSP1,2069,451945.15952020604
SSP1,2070,458764.0320706842
SSP1,2071,465598.43003428576
SSP1,2072,472351.0046726773
SSP1,2073,479024.6160071958
SSP1,2074,485622.0670701995
SSP1,2075,492146.09323965834
SSP1,2076,498614.96068935614
SSP1,2077,505016.8789502092
SSP1,2078,511354.9675569082
SSP1,2079,517632.2362685202
SSP1,2080,523851.56969713164
SSP1,2081,529857.8709358103
SSP1,2082,535798.7457504215
SSP1,2083,541670.8231880511
SSP1,2084,547470.5364067251
SSP1,2085,553194.1051143165
SSP1,2086,558865.9887116383
SSP1,2087,564454.0451765861
SSP1,2088,569953.6740440466
SSP1,2089,575359.9829533203
SSP1,2090,580667.7677525701
SSP1,2091,585891.9903515677
SSP1,2092,591006.4818196216
SSP1,2093,596004.9144216636
SSP1,2094,600880.5544036815
SSP1,2095,605626.2378583462
SSP1,2096,610213.926203781
SSP1,2097,614655.9594145895
SSP1,2098,618943.737334783
SSP1,2099,623068.1251538914
SSP1,2100,627019.423675375
SSP2,2010,77476.36981371172
SSP2,2011,81618.31094396744
SSP2,2012,84981.4594772415
SSP2,2013,88481.2036802245
SSP2,2014,92113.55092636593
SSP2,2015,95874.52833010713
SSP2,2016,99437.68368810436
SSP2,2017,103052.08286374052
SSP2,2018,107858.93269623641
SSP2,2019,112335.28222776196
SSP2,2020,116917.71971952556
SSP2,2021,121584.70138373118
SSP2,2022,126330.52291015502
SSP2,2023,131142.61478675823
SSP2,2024,136009.19268951335
SSP2,2025,140919.23431279958
SSP2,2026,145859.62469791717
SSP2,2027,150822.22826060353
SSP2,2028,155797.6144617123
SSP2,2029,160776.92686714046
SSP2,2030,165751.85075409713
SSP2,2031,170836.40877141024
SSP2,2032,175917.21019396276
SSP2,2033,180994.09873491846
SSP2,2034,186067.3419015967
SSP2,2035,191137.60487706063
SSP2,2036,196211.48688400877
SSP2,2037,201284.48793960697
SSP2,2038,206357.81953041427
SSP2,2039,211433.00113483344
SSP2,2040,216511.83784781687
SSP2,2041,221577.04566400987
SSP2,2042,226648.7099016213
SSP2,2043,231728.8157043886
SSP2,2044,236819.5421191334
SSP2,2045,241923.2457819827
SSP2,2046,247057.88766295154
SSP2,2047,252211.76513407455
SSP2,2048,257387.90462687227
SSP2,2049,262589.44437389175
SSP2,2050,267819.6170285448
SSP2,2051,273150.12983047246
SSP2,2052,278520.43218175916
SSP2,2053,283934.9257016257
SSP2,2054,289398.0518556359
SSP2,2055,294914.2798524054
SSP2,2056,300529.805344895
SSP2,2057,306207.76678613713
SSP2,2058,311952.84518421773
SSP2,2059,317769.705560788
SSP2,2060,323662.98538355494
SSP2,2061,329665.6243202231
SSP2,2062,335746.361091935
SSP2,2063,341902.89751531923
SSP2,2064,348132.88603246905
SSP2,2065,354433.9211265834
SSP2,2066,360805.6714471052
SSP2,2067,367241.7584780399
SSP2,2068,373739.00360721
SSP2,2069,380294.13290821965
SSP2,2070,386903.7743474752
SSP2,2071,393663.1798635156
SSP2,2072,400483.2259357133
SSP2,2073,407365.66847626824
SSP2,2074,414312.1696939425
SSP2,2075,421324.3012532978
SSP2,2076,428415.7416930528
SSP2,2077,435575.74227214605
SSP2,2078,442805.9973687162
SSP2,2079,450108.11735406227
SSP2,2080,457483.63283056335
SSP2,2081,464783.09598382574
SSP2,2082,472153.09058756335
SSP2,2083,479593.22197074455
SSP2,2084,487103.0559821757
SSP2,2085,494682.127211965
SSP2,2086,502359.7807432896
SSP2,2087,510104.2097839013
SSP2,2088,517914.61478615797
SSP2,2089,525790.2102735377
SSP2,2090,533730.2451102759
SSP2,2091,541750.3371640753
SSP2,2092,549832.0106263579
SSP2,2093,557974.578551354
SSP2,2094,566177.4721462145
SSP2,2095,574440.268370737
SSP2,2096,582763.2564362342
SSP2,2097,591146.1924126839
SSP2,2098,599589.2955573587
SSP2,2099,608093.0660015182
SSP2,2100,616658.3245869841
SSP3,2010,77476.35143081956
SSP3,2011,81732.99005953432
SSP3,2012,85177.23875362298
SSP3,2013,88719.81657092675
SSP3,2014,92352.25761654256
SSP3,2015,96066.1922057505
SSP3,2016,99693.93614401748
SSP3,2017,102928.71767386905
SSP3,2018,107445.55513448395
SSP3,2019,111610.942410708
SSP3,2020,115804.22661169547
SSP3,2021,120003.06318778393
SSP3,2022,124193.59410909645
SSP3,2023,128359.80205791931
SSP3,2024,132486.74807426438
SSP3,2025,136560.52137163896
SSP3,2026,140565.7822425066
SSP3,2027,144491.66999607038
SSP3,2028,148325.9038351316
SSP3,2029,152056.9753789952
SSP3,2030,155674.0900050431
SSP3,2031,159306.84090907892
SSP3,2032,162826.34083876625
SSP3,2033,166234.95514671854
SSP3,2034,169535.59113442694
SSP3,2035,172731.66058407954
SSP3,2036,175813.2686281842
SSP3,2037,178797.85303419598
SSP3,2038,181689.66126309466
SSP3,2039,184493.2813125761
SSP3,2040,187213.60799064062
