scenario,year,population_millions,population
SSP1,2010,6872.462262253336,6872462262
SSP1,2011,6944.507743920152,6944507744
SSP1,2012,7015.02901686982,7015029017
SSP1,2013,7083.979644787591,7083979645
SSP1,2014,7151.3132645024,7151313265
SSP1,2015,7216.983682347562,7216983682
SSP1,2016,7280.944518654056,7280944519
SSP1,2017,7343.149475652989,7343149476
SSP1,2018,7403.552451157636,7403552451
SSP1,2019,7462.107201636221,7462107202
SSP1,2020,7518.767680728151,7518767681
SSP1,2021,7573.511084582121,7573511085
SSP1,2022,7626.408003786367,7626408004
SSP1,2023,7677.553164249305,7677553164
SSP1,2024,7727.040173969214,7727040174
SSP1,2025,7774.963485549896,7774963486
SSP1,2026,7821.406820638979,7821406821
SSP1,2027,7866.413090546002,7866413091
SSP1,2028,7910.0145472273725,7910014547
SSP1,2029,7952.243639655607,7952243640
SSP1,2030,7993.132837895591,7993132838
SSP1,2031,8032.704788299394,8032704788
SSP1,2032,8070.943133482295,8070943133
SSP1,2033,8107.821699788746,8107821700
SSP1,2034,8143.314390182289,8143314390
SSP1,2035,8177.395070116475,8177395070
SSP1,2036,8210.02844745993,8210028447
SSP1,2037,8241.142977398624,8241142977
SSP1,2038,8270.657872267755,8270657872
SSP1,2039,8298.49223380009,8298492234
SSP1,2040,8324.565439389435,8324565439
SSP1,2041,8348.806748463265,8348806748
SSP1,2042,8371.185882545378,8371185883
SSP1,2043,8391.682940066243,8391682940
SSP1,2044,8410.277396417427,8410277396
SSP1,2045,8426.949365485845,8426949365
SSP1,2046,8441.68550807209,8441685508
SSP1,2047,8454.501631440155,8454501631
SSP1,2048,8465.420021363643,8465420021
SSP1,2049,8474.463163524699,8474463164
SSP1,2050,8481.65341245228,8481653412
SSP1,2051,8487.013091359522,8487013091
SSP1,2052,8490.563153807334,8490563154
SSP1,2053,8492.324350108418,8492324350
SSP1,2054,8492.317315616767,8492317316
SSP1,2055,8490.562755994779,8490562756
SSP1,2056,8487.083113920227,8487083114
SSP1,2057,8481.907813013111,8481907813
SSP1,2058,8475.068349345156,8475068349
SSP1,2059,8466.595594035127,8466595594
SSP1,2060,8456.52099943521,8456520999
SSP1,2061,8444.876556449995,8444876556
SSP1,2062,8431.697857703974,8431697858
SSP1,2063,8417.021218071193,8417021218
SSP1,2064,8400.883067476747,8400883067
SSP1,2065,8383.3197686216,8383319769
SSP1,2066,8364.368489922623,8364368490
SSP1,2067,8344.070601949537,8344070602
SSP1,2068,8322.468285524803,8322468286
SSP1,2069,8299.603839149875,8299603839
SSP1,2070,8275.51947208655,8275519472
SSP1,2071,8250.245361917705,8250245362
SSP1,2072,8223.763104505515,8223763105
SSP1,2073,8196.042382806982,8196042383
SSP1,2074,8167.052776229316,8167052776
SSP1,2075,8136.763893151452,8136763893
SSP1,2076,8105.124443479986,8105124443
