technology,co2_kg_per_kwh,nox_kg_per_kwh,sox_kg_per_kwh,pm25_kg_per_kwh,gwp100_kg_per_kwh
coal,1.429593767809316,0.002354057581130715,0.005884570325702163,0.00881308402809415,1.447647710835058
gas,0.6075868661788821,0.0005765450152081453,0.0001690098250557894,3.630044074237003e-05,0.6985684308319495
oil,0.9814839818167626,0.00196707114612232,0.01057173385096352,0.0002222435107257964,1.097089259509056
nuclear,0.006369634787593883,3.438700910865894e-05,2.167437950058859e-05,1.761961391116732e-05,0.007168263973614549
hydro,0.004020956691536647,1.456727591436745e-05,5.588085796095389e-06,4.655157250209567e-06,0.004361414925837377
wind,0.01581656693464267,4.638612426022425e-05,4.983775151727894e-05,1.440911707029529e-05,0.01796890258134911
solar,0.07124845237216071,0.0001988228216778055,0.0002649101618571757,6.488977778501915e-05,0.08248890012939528
biomass,0.03403771206150213,0.0009446358470549072,7.450781069373427e-05,6.67106329318198e-05,0.04471392799015089
geothermal,0.06392135471138002,0.0001639445001472615,0.0001674286997810568,8.172800198261668e-05,0.07187878561955474
storage,,,,,
